week,campus,revenue,margin,orders,units
2026-09,Caulfield,453,247.5,2,69
2026-09,City,684,373.5,2,104
2026-09,Clayton,581,318,2,89
2026-10,Caulfield,500,273,2,76
2026-10,City,745,406.5,2,113
2026-10,Clayton,290,174,1,58
2026-11,Caulfield,543,297,2,83
2026-11,City,792,432,2,120
2026-11,Clayton,647,354,2,99
2026-12,Caulfield,560,304.5,2,84
2026-12,City,863,471,2,131
2026-12,Clayton,708,387,2,108
2026-13,Caulfield,270,162,1,54
2026-13,City,910,496.5,2,138
2026-13,Clayton,750,409.5,2,114
2026-14,Caulfield,496,271.5,2,76
2026-14,City,821,448.5,2,125
2026-14,Clayton,634,348,2,98
