date,campus,product,category,channel,units,revenue,cost,cancelled
2026-03-02,Caulfield,Latte,Coffee,Counter,42,210,84,No
2026-03-02,Caulfield,Toastie,Food,Counter,27,243,121.5,No
2026-03-03,Clayton,Latte,Coffee,Counter,55,275,110,No
2026-03-03,Clayton,Toastie,Food,Counter,34,306,153,No
2026-03-04,City,Latte,Coffee,App,63,315,126,No
2026-03-04,City,Toastie,Food,Counter,41,369,184.5,No
2026-03-09,Caulfield,Latte,Coffee,Counter,46,230,92,No
2026-03-09,Caulfield,Toastie,Food,App,30,270,135,No
2026-03-10,Clayton,Latte,Coffee,Counter,58,290,116,No
2026-03-10,Clayton,Toastie,Food,Counter,31,279,139.5,Yes
2026-03-11,City,Latte,Coffee,App,68,340,136,No
2026-03-11,City,Toastie,Food,Counter,45,405,202.5,No
2026-03-16,Caulfield,Latte,Coffee,Counter,51,255,102,No
2026-03-16,Caulfield,Toastie,Food,Counter,32,288,144,No
2026-03-17,Clayton,Latte,Coffee,App,61,305,122,No
2026-03-17,Clayton,Toastie,Food,Counter,38,342,171,No
2026-03-18,City,Latte,Coffee,Counter,72,360,144,No
2026-03-18,City,Toastie,Food,App,48,432,216,No
2026-03-23,Caulfield,Latte,Coffee,App,49,245,98,No
2026-03-23,Caulfield,Toastie,Food,Counter,35,315,157.5,No
2026-03-24,Clayton,Latte,Coffee,Counter,66,330,132,No
2026-03-24,Clayton,Toastie,Food,Counter,42,378,189,No
2026-03-25,City,Latte,Coffee,App,79,395,158,No
2026-03-25,City,Toastie,Food,Counter,52,468,234,No
2026-03-30,Caulfield,Latte,Coffee,Counter,54,270,108,No
2026-03-30,Caulfield,Toastie,Food,App,37,333,166.5,Yes
2026-03-31,Clayton,Latte,Coffee,Counter,69,345,138,No
2026-03-31,Clayton,Toastie,Food,Counter,45,405,202.5,No
2026-04-01,City,Latte,Coffee,App,83,415,166,No
2026-04-01,City,Toastie,Food,Counter,55,495,247.5,No
2026-04-06,Caulfield,Latte,Coffee,Counter,47,235,94,No
2026-04-06,Caulfield,Toastie,Food,Counter,29,261,130.5,No
2026-04-07,Clayton,Latte,Coffee,App,62,310,124,No
2026-04-07,Clayton,Toastie,Food,Counter,36,324,162,No
2026-04-08,City,Latte,Coffee,Counter,76,380,152,No
2026-04-08,City,Toastie,Food,App,49,441,220.5,No

