date,region,channel,ad_spend,revenue,units
2024-01-01,North,Online,8200,42100,338
2024-01-01,South,Online,7600,38950,312
2024-01-01,East,Retail,6900,35120,284
2024-01-01,West,Retail,7300,37280,298
2024-02-01,North,Online,8400,43240,345
2024-02-01,South,Online,7800,39760,319
2024-02-01,East,Retail,7000,35680,289
2024-02-01,West,Retail,7450,38110,305
2024-03-01,North,Online,8900,45890,367
2024-03-01,South,Online,8050,41220,330
2024-03-01,East,Retail,7350,37450,302
2024-03-01,West,Retail,7700,39540,316
2024-04-01,North,Online,9300,47820,382
2024-04-01,South,Online,8250,42180,337
2024-04-01,East,Retail,7600,38690,311
2024-04-01,West,Retail,7950,40750,326
2024-05-01,North,Online,9700,49860,399
2024-05-01,South,Online,8600,43910,351
2024-05-01,East,Retail,7900,40220,323
2024-05-01,West,Retail,8300,42480,340
2024-06-01,North,Online,10200,52340,419
2024-06-01,South,Online,9000,45980,368
2024-06-01,East,Retail,8200,41870,336
2024-06-01,West,Retail,8700,44420,356
2024-07-01,North,Online,10800,55120,441
2024-07-01,South,Online,9450,48260,386
2024-07-01,East,Retail,8650,44180,354
2024-07-01,West,Retail,9150,46730,374
2024-08-01,North,Online,11100,56540,452
2024-08-01,South,Online,9700,49440,395
2024-08-01,East,Retail,8900,45260,362
2024-08-01,West,Retail,9400,47980,384
2024-09-01,North,Online,10600,54230,434
2024-09-01,South,Online,9550,48710,390
2024-09-01,East,Retail,8750,44640,357
2024-09-01,West,Retail,9250,47250,378
2024-10-01,North,Online,10100,51680,413
2024-10-01,South,Online,9200,46920,375
2024-10-01,East,Retail,8500,,344
2024-10-01,West,Retail,8950,45630,365
2024-11-01,North,Online,11400,58190,465
2024-11-01,South,Online,9900,50570,405
2024-11-01,East,Retail,9100,46380,371
2024-11-01,West,Retail,9600,48920,391
2024-12-01,North,Online,12500,63640,509
2024-12-01,South,Online,10800,55110,441
2024-12-01,East,Retail,9900,50420,403
2024-12-01,West,Retail,10400,52980,424
2025-01-01,North,Online,8800,44860,359
2025-01-01,South,Online,8150,41640,333
2025-01-01,East,Retail,7450,38010,304
2025-01-01,West,Retail,7850,39980,320
2025-02-01,North,Online,9050,46170,369
2025-02-01,South,Online,8350,42550,340
2025-02-01,East,Retail,7600,38740,310
2025-02-01,West,Retail,8050,41060,329
2025-03-01,North,Online,9600,48920,391
2025-03-01,South,Online,8750,44580,357
2025-03-01,East,Retail,8050,41020,328
2025-03-01,West,Retail,8500,43350,347
2025-04-01,North,Online,9950,50780,406
2025-04-01,South,Online,9100,46320,371
2025-04-01,East,Retail,8350,42560,340
2025-04-01,West,Retail,8800,44840,359
2025-05-01,North,Online,10400,53120,425
2025-05-01,South,Online,9450,48180,385
2025-05-01,East,Retail,8700,44390,355
2025-05-01,West,Retail,9200,46960,376
2025-06-01,North,Online,10900,55630,445
2025-06-01,South,Online,9850,50160,401
2025-06-01,East,Retail,9100,46310,370
2025-06-01,West,Retail,9600,48880,391
2025-07-01,North,Online,11600,59040,472
2025-07-01,South,Online,10400,52980,424
2025-07-01,East,Retail,9550,48670,389
2025-07-01,West,Retail,10050,51230,410
2025-08-01,North,Online,11950,60820,486
2025-08-01,South,Online,10700,54540,436
2025-08-01,East,Retail,9800,49960,400
2025-08-01,West,Retail,10350,52720,422
2025-09-01,North,Online,11300,57680,461
2025-09-01,South,Online,10250,52210,418
2025-09-01,East,Retail,9400,47920,383
2025-09-01,West,Retail,9950,50680,405
2025-10-01,North,Online,10800,55190,441
2025-10-01,South,Online,9800,49940,400
2025-10-01,East,Retail,9000,45870,367
2025-10-01,West,Retail,9500,,382
2025-11-01,North,Online,12100,61760,494
2025-11-01,South,Online,10950,55790,446
2025-11-01,East,Retail,10050,51260,410
2025-11-01,West,Retail,10600,54030,432
2025-12-01,North,Online,13200,67280,538
2025-12-01,South,Online,11800,60170,481
2025-12-01,East,Retail,10900,55530,444
2025-12-01,West,Retail,11450,58320,466
